Identifiant_de_l_etablissement,Type_etablissement,Statut_public_prive,Type_contrat_prive,Nom_etablissement,Adresse_1,Adresse_2,Adresse_3,Code_postal,Code_commune,Nom_commune,Code_departement,Libelle_departement,Code_academie,Libelle_academie,Code_region,Libelle_region,Ecole_maternelle,Ecole_elementaire,Voie_generale,Voie_technologique,Voie_professionnelle,Telephone,Fax,Web,Mail,Restauration,Hebergement,ULIS,Lycee_des_metiers,Apprentissage,Segpa,Post_BAC,Section_arts,Section_cinema,Section_theatre,Section_sport,Section_internationale,Section_europeenne,Lycee_Agricole,Lycee_militaire,Nombre_d_eleves,GRETA,SIREN_SIRET,Fiche_onisep,Appartenance_Education_Prioritaire,coordX_origine,coordY_origine,epsg_origine,nom_circonscription,latitude,longitude,position,precision_localisation,date_ouverture,date_maj_ligne,etat,ministere_tutelle,multi_uai,rpi_concentre,rpi_disperse,code_nature,libelle_nature
0340531T,Ecole,Public,SANS OBJET,Ecole maternelle Agrippa d'Aubigné,147 rue des 4 Seigneurs ,,34090 MONTPELLIER,34090,34172,Montpellier,34,Hérault,11,Montpellier,76,Occitanie,1.0,0.0,,,,0467632420,,,ce.0340531T@ac-montpellier.fr,1.0,0.0,0.0,,,,,,,,,,,,,158.0,,21340172201092,,,769120.5,6282930.5,EPSG:2154,Circonscription d'inspection du 1er degré de Montpellier Est,43.64204525634395,3.856423025648084,"43.64204525634395,3.856423025648084",Numéro de rue,1965-07-10,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0340536Y,Ecole,Public,SANS OBJET,Ecole maternelle Marcel Pagnol,305 rue Georges Brassens ,,34070 MONTPELLIER,34070,34172,Montpellier,34,Hérault,11,Montpellier,76,Occitanie,1.0,0.0,,,,0467275378,,,ce.0340536Y@ac-montpellier.fr,1.0,0.0,0.0,,,,,,,,,,,,,166.0,,21340172201431,,,769912.8,6277616.8,EPSG:2154,Circonscription d'inspection du 1er degré de Montpellier Sud,43.59415902692599,3.8655174370789753,"43.59415902692599,3.8655174370789753",Numéro de rue,1965-07-10,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0340548L,Ecole,Public,SANS OBJET,Ecole maternelle Louise Michel (Painlevé),501 avenue de la Pompignane ,,34000 MONTPELLIER,34000,34172,Montpellier,34,Hérault,11,Montpellier,76,Occitanie,1.0,0.0,,,,0467657372,,,ce.0340548L@ac-montpellier.fr,1.0,0.0,0.0,,,,,,,,,,,,,112.0,,21340172200979,,,772506.6,6279473.0,EPSG:2154,Circonscription d'inspection du 1er degré de Montpellier Est,43.61059883927961,3.897887143207924,"43.61059883927961,3.8978871432079236",Numéro de rue,1965-07-10,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0351873W,Ecole,Public,SANS OBJET,Ecole maternelle publique les Grains d'Orge,10 rue DE RENNES ,,35230 ORGERES,35230,35208,Orgères,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1.0,0.0,,,,0299576264,,,ecole.0351873W@ac-rennes.fr,1.0,0.0,0.0,,,,,,,,,,,,,145.0,,21350208100036,,,352060.6,6776596.5,EPSG:2154,Circonscription d'inspection du 1er degré de Chartres-de-Bretagne,47.9971717389008,-1.6678126654391066,"47.9971717389008,-1.6678126654391066",Numéro de rue,1974-07-05,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0382053A,Ecole,Public,SANS OBJET,Ecole maternelle Paul Langevin,1 bis rue NORMANDIE NIEMEN ,,38130 ECHIROLLES,38130,38151,Echirolles,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0476094265,,,ce.0382053A@ac-grenoble.fr,1.0,0.0,0.0,,,,,,,,,,,,,216.0,,21380151700201,,,913550.3,6453011.6,EPSG:2154,Circonscription d'inspection du 1er degré de Grenoble 3,45.14332011568556,5.717537707913071,"45.143320115685555,5.7175377079130705",Numéro de rue,1972-06-14,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0383533J,Ecole,Public,SANS OBJET,Ecole maternelle F.Arthaud,97 bis cours Berriat ,,38000 GRENOBLE,38000,38185,Grenoble,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,,,,ce.0383533J@ac-grenoble.fr,0.0,0.0,0.0,,,,,,,,,,,,,,,21380185502094,,,912774.0,6457984.0,EPSG:2154,Circonscription d'inspection du 1er degré de Grenoble 1,45.18830596847423,5.709837321446343,"45.188305968474225,5.709837321446343",Numéro de rue,2019-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0420239G,Ecole,Public,SANS OBJET,Ecole maternelle Anne-Marie Reverchon,7 rue du losange ,,42800 DARGOIRE,42800,42083,Dargoire,42,Loire,10,Lyon,84,Auvergne-Rhône-Alpes,1.0,0.0,,,,0477894629,,,ce.0420239G@ac-lyon.fr,0.0,0.0,0.0,,,,,,,,,,,,,68.0,,21420083400023,,,830006.4,6496982.1,EPSG:2154,Circonscription d'inspection du 1er degré de Rive de Gier,45.55998778708666,4.666620948553838,"45.55998778708666,4.666620948553838",Numéro de rue,1965-08-25,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,042003,101,ECOLE MATERNELLE
0760203H,Ecole,Public,SANS OBJET,Ecole maternelle Thomas Corneille,214 route de Darnetal ,,76000 ROUEN,76000,76540,Rouen,76,Seine-Maritime,21,Rouen,28,Normandie,1.0,0.0,,,,0235710116,,,ce.0760203H@ac-rouen.fr,1.0,0.0,0.0,,,,,,,,,,,,,77.0,,21760540100256,,,563536.2,6928599.7,EPSG:2154,Circonscription d'inspection du 1er degré de Rouen Nord,49.44219686261139,1.1188307217070297,"49.44219686261139,1.1188307217070295",Numéro de rue,1966-11-08,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0760205K,Ecole,Public,SANS OBJET,Ecole élémentaire Jean de la Fontaine,8 bis rue Joseph Court ,,76000 ROUEN,76000,76540,Rouen,76,Seine-Maritime,21,Rouen,28,Normandie,0.0,1.0,,,,0235700902,,,ce.0760205K@ac-rouen.fr,1.0,0.0,0.0,,,,,,,,,,,,,154.0,,21760540100231,,,562605.0,6929568.1,EPSG:2154,Circonscription d'inspection du 1er degré de Rouen Nord,49.45069822019117,1.1056787338943428,"49.45069822019117,1.1056787338943428",Numéro de rue,1966-11-08,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0760210R,Ecole,Public,SANS OBJET,Ecole maternelle Anatole France,8 rue de Berne ,,76000 ROUEN,76000,76540,Rouen,76,Seine-Maritime,21,Rouen,28,Normandie,1.0,0.0,,,,0235708849,,,ce.0760210R@ac-rouen.fr,1.0,0.0,0.0,,,,,,,,,,,,,92.0,,21760540100157,,,564002.8,6928853.2,EPSG:2154,Circonscription d'inspection du 1er degré de Rouen Nord,49.44457440027213,1.1251774798838037,"49.444574400272124,1.1251774798838037",Numéro de rue,1966-11-09,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0760216X,Ecole,Public,SANS OBJET,Ecole élémentaire Jules Michelet,93 rue Eau de Robec ,,76000 ROUEN,76000,76540,Rouen,76,Seine-Maritime,21,Rouen,28,Normandie,0.0,1.0,,,,0235716874,,,ce.0760216X@ac-rouen.fr,1.0,0.0,0.0,,,,,,,,,,,,,94.0,,21760540100629,,,562573.1,6928538.0,EPSG:2154,Circonscription d'inspection du 1er degré de Rouen Nord,49.44143553144202,1.1055797546342074,"49.44143553144202,1.1055797546342074",Numéro de rue,1966-11-08,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0760217Y,Ecole,Public,SANS OBJET,Ecole élémentaire Jean Mullot,16 rue Jean Mullot ,,76100 ROUEN,76100,76540,Rouen,76,Seine-Maritime,21,Rouen,28,Normandie,0.0,1.0,,,,0235720513,,,ce.0760217Y@ac-rouen.fr,1.0,0.0,0.0,,,,,,,,,,,,,241.0,,21760540100454,,,560569.9,6926970.8,EPSG:2154,Circonscription d'inspection du 1er degré de Rouen Centre,49.426918557440544,1.0785022153646202,"49.426918557440544,1.0785022153646202",Numéro de rue,1966-11-08,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0760223E,Ecole,Public,SANS OBJET,Ecole élémentaire Pierre de Ronsard - François Villon,21 rue Newton ,,76000 ROUEN,76000,76540,Rouen,76,Seine-Maritime,21,Rouen,28,Normandie,1.0,1.0,,,,0235600070,,,ce.0760223E@ac-rouen.fr,1.0,0.0,0.0,,,,,,,,,,,,,271.0,,21760540100470,,REP+,564909.9,6930394.6,EPSG:2154,Circonscription d'inspection du 1er degré de Rouen Nord,49.45861738367874,1.137176668626314,"49.45861738367874,1.137176668626314",Numéro de rue,1966-11-08,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0760230M,Ecole,Public,SANS OBJET,Ecole élémentaire Marthe Corneille,31 rue des Peupliers ,,76000 ROUEN,76000,76540,Rouen,76,Seine-Maritime,21,Rouen,28,Normandie,0.0,1.0,,,,0235711841,,,ce.0760230M@ac-rouen.fr,1.0,0.0,0.0,,,,,,,,,,,,,128.0,,21760540100520,,,563532.5,6928620.9,EPSG:2154,Circonscription d'inspection du 1er degré de Rouen Nord,49.44238656140949,1.1187727748677718,"49.44238656140949,1.1187727748677718",Numéro de rue,1966-11-08,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0760237V,Ecole,Public,SANS OBJET,Ecole élémentaire le Gouy,16 rue Le Gouy ,,76000 ROUEN,76000,76540,Rouen,76,Seine-Maritime,21,Rouen,28,Normandie,0.0,1.0,,,,0235719421,,,ce.0760237V@ac-rouen.fr,1.0,0.0,1.0,,,,,,,,,,,,,184.0,,21760540100405,,,562782.7,6928732.7,EPSG:2154,Circonscription d'inspection du 1er degré de Rouen Nord,49.44323014617,1.1084036870942984,"49.443230146169995,1.1084036870942984",Numéro de rue,1966-11-09,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0760238W,Ecole,Public,SANS OBJET,Ecole élémentaire Clément Marot,19 rue Newton ,,76000 ROUEN,76000,76540,Rouen,76,Seine-Maritime,21,Rouen,28,Normandie,1.0,1.0,,,,0235603003,,,ce.0760238W@ac-rouen.fr,1.0,0.0,0.0,,,,,,,,,,,,,247.0,,21760540100488,,REP+,564887.3,6930300.6,EPSG:2154,Circonscription d'inspection du 1er degré de Rouen Nord,49.45776797190409,1.1368957200335157,"49.45776797190409,1.1368957200335155",Numéro de rue,1966-11-09,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0760249H,Ecole,Public,SANS OBJET,Ecole maternelle Marcel Cartier,41 rue de Sotteville ,,76100 ROUEN,76100,76540,Rouen,76,Seine-Maritime,21,Rouen,28,Normandie,1.0,0.0,,,,0235720523,,,ce.0760249H@ac-rouen.fr,1.0,0.0,0.0,,,,,,,,,,,,,197.0,,21760540100652,,,561190.7,6927127.1,EPSG:2154,Circonscription d'inspection du 1er degré de Rouen Centre,49.42845845370863,1.0870019834849622,"49.42845845370863,1.0870019834849622",Numéro de rue,1966-11-09,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0760250J,Ecole,Public,SANS OBJET,Ecole maternelle Cavelier de La Salle,23 boulevard d'Orléans ,,76100 ROUEN,76100,76540,Rouen,76,Seine-Maritime,21,Rouen,28,Normandie,1.0,0.0,,,,0235732760,,,ce.0760250J@ac-rouen.fr,1.0,0.0,0.0,,,,,,,,,,,,,140.0,,21760540100496,,,560794.5,6928023.4,EPSG:2154,Circonscription d'inspection du 1er degré de Rouen Centre,49.43642569650616,1.0812438077431443,"49.436425696506156,1.0812438077431445",Numéro de rue,1966-11-09,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0760252L,Ecole,Public,SANS OBJET,Ecole maternelle Jules Ferry,2 rue Enseigne Renaud ,,76000 ROUEN,76000,76540,Rouen,76,Seine-Maritime,21,Rouen,28,Normandie,1.0,0.0,,,,0235714355,,,ce.0760252L@ac-rouen.fr,1.0,0.0,0.0,,,,,,,,,,,,,79.0,,21760540100587,,,564028.0,6927815.3,EPSG:2154,Circonscription d'inspection du 1er degré de Rouen Nord,49.43525376142488,1.125864285068538,"49.43525376142488,1.1258642850685379",Numéro de rue,1966-11-09,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0760254N,Ecole,Public,SANS OBJET,Ecole maternelle Pauline Kergomard,19 rue Sainte Claire ,,76000 ROUEN,76000,76540,Rouen,76,Seine-Maritime,21,Rouen,28,Normandie,1.0,0.0,,,,0235719807,,,ce.0760254N@ac-rouen.fr,1.0,0.0,0.0,,,,,,,,,,,,,51.0,,21760540100199,,,562855.0,6928721.8,EPSG:2154,Circonscription d'inspection du 1er degré de Rouen Nord,49.44314776692072,1.1094035880511006,"49.443147766920724,1.1094035880511006",Numéro de rue,1966-11-09,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0760256R,Ecole,Public,SANS OBJET,Ecole maternelle Marguerite Messier,199 rue Albert Dupuis ,,76000 ROUEN,76000,76540,Rouen,76,Seine-Maritime,21,Rouen,28,Normandie,1.0,0.0,,,,0235601999,,,ce.0760256R@ac-rouen.fr,1.0,0.0,0.0,,,,,,,,,,,,,106.0,,21760540100314,,REP+,564450.4,6930406.1,EPSG:2154,Circonscription d'inspection du 1er degré de Rouen Nord,49.4586231285114,1.1308390084209696,"49.4586231285114,1.1308390084209696",Numéro de rue,1966-11-09,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0760258T,Ecole,Public,SANS OBJET,Ecole maternelle Charles Nicolle,1  RUE PIERRE CURIE ,,76100 ROUEN,76100,76540,Rouen,76,Seine-Maritime,21,Rouen,28,Normandie,1.0,0.0,,,,0235725923,,,ce.0760258T@ac-rouen.fr,1.0,0.0,0.0,,,,,,,,,,,,,102.0,,21760540100249,,,560438.8,6926076.2,EPSG:2154,Circonscription d'inspection du 1er degré de Rouen Centre,49.41885144539456,1.0769964121901996,"49.41885144539456,1.0769964121901996",Numéro de rue,1966-11-09,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0760259U,Ecole,Public,SANS OBJET,Ecole maternelle Marie Pape Carpentier,96 rue Saint Julien ,,76100 ROUEN,76100,76540,Rouen,76,Seine-Maritime,21,Rouen,28,Normandie,1.0,0.0,,,,0235723059,,,ce.0760259U@ac-rouen.fr,1.0,0.0,0.0,,,,,,,,,,,,,68.0,,21760540100439,,,560527.6,6927036.5,EPSG:2154,Circonscription d'inspection du 1er degré de Rouen Centre,49.427499649795976,1.0778974704708566,"49.427499649795976,1.0778974704708566",Numéro de rue,1966-11-09,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0760262X,Ecole,Public,SANS OBJET,Ecole maternelle les Sapins,6 rue du Docteur Seguin ,,76000 ROUEN,76000,76540,Rouen,76,Seine-Maritime,21,Rouen,28,Normandie,1.0,0.0,,,,0235605422,,,ce.0760262X@ac-rouen.fr,1.0,0.0,0.0,,,,,,,,,,,,,80.0,,21760540100637,,REP+,564150.1,6930002.9,EPSG:2154,Circonscription d'inspection du 1er degré de Rouen Nord,49.45493629858614,1.1268314431100006,"49.45493629858614,1.1268314431100006",Numéro de rue,1966-11-09,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
